name,watercourse_code,length,first_point,last_point,is_affluent,classe,river_join
Le Vernet,H6056000,27.379977015021282,"[0.52324862945764, 48.79896488292173]","[0.74089085129702, 48.9456862450738]",1,3,La Seine
La Bruxenelle,F5910600,40.02539067902436,"[4.991393447866618, 48.70680392373792]","[4.628347158353774, 48.74653958086225]",1,3,La Seine
Ruisseau de Saulces,H1270600,29.550465264467956,"[4.515023649387343, 49.60189346051327]","[4.363431632459744, 49.50924880564072]",1,3,La Seine
L'Andelle,H32-0400,56.89817690568755,"[1.52343129813363, 49.62764788620635]","[1.22371963456987, 49.31075203917737]",1,2,La Seine
L'Ante,H1020600,26.084924000757205,"[4.780731509875939, 48.94109044759806]","[4.917877474069042, 49.05410629992653]",1,3,La Seine
L'Yerres,F4--0210,98.21029864513962,"[2.947471386633984, 48.7946910844921]","[2.442686683450872, 48.72665453299941]",1,2,La Seine
Le Noirrieu,H00-0400,32.94593376013232,"[3.885632657005948, 49.999060254508464]","[3.577922293170333, 49.927556334335065]",1,2,La Seine
La Suippe,H13-0410,81.69586353814302,"[4.582303586447695, 49.11799228830013]","[3.949156140489882, 49.4249605122139]",1,2,La Seine
La Vaux,H13-0400,37.705592431260534,"[4.387152643435084, 49.73951525516363]","[4.282343406007397, 49.52309930036255]",1,3,La Seine
La Breche,H20-0420,45.49489773614312,"[2.213028869622227, 49.523018915888976]","[2.497396257011806, 49.27582253083923]",1,3,La Seine
L'Automne,H20-0400,33.95046249781319,"[3.083649526889087, 49.24769552751922]","[2.728916456743771, 49.31879061443321]",1,3,La Seine
La Barbuise,F1510600,35.65225369586319,"[4.198299210982863, 48.3739326442976]","[3.964709191568412, 48.549863524553984]",1,3,La Seine
La Marne,F---0100,514.1616306140949,"[5.350862624415098, 47.818139053444284]","[2.408220646041194, 48.81719088887827]",1,1,La Seine
Ruisseau de la Visandre,F4710600,30.927150274057727,"[3.280053984909766, 48.64603263950473]","[2.972668946093616, 48.69502153897365]",1,3,La Seine
L'Argentalet,F3240600,26.416324271573075,"[4.201165746840219, 47.2779708195419]","[4.15610643342773, 47.44779794657498]",1,3,La Seine
Le Hurtaut,H0104000,38.082182704324055,"[4.378080300352713, 49.740036978575]","[4.009246491600861, 49.69736338602433]",1,3,La Seine
La Serre,H01-0400,96.00323943552768,"[4.316598485077033, 49.763540599433355]","[3.391760658325509, 49.67781468861987]",1,2,La Seine
La Souche,H01-0420,31.864279981607858,"[3.91203239242813, 49.57226108540661]","[3.620895292185844, 49.692593574304176]",1,3,La Seine
Le Vilpion,H01-0410,42.80534655436962,"[4.047357475909336, 49.83979911537979]","[3.693975037213249, 49.698505952322606]",1,3,La Seine
La Somme-Soude,F6090600,59.851301941585966,"[4.208658697054227, 48.736937517350896]","[4.199900521419607, 49.01822268569798]",1,2,La Seine
La Voulzie,F23-0400,43.85009959768648,"[3.361024572648427, 48.62374822332028]","[3.208374082892863, 48.42735423892734]",1,3,La Seine
Le Lunain,F4380600,51.42294216089639,"[3.145790809003249, 48.11069762114593]","[2.782201027016512, 48.3361325756135]",1,2,La Seine
La Noxe,F2020600,32.5630728028891,"[3.659080880639353, 48.67521575435206]","[3.52982858441639, 48.52015416955189]",1,3,La Seine
Bras du Blanc Soleil,H30-4901,1.953043635083563,"[1.813995455650564, 48.97546298714538]","[1.791583501118007, 48.96982710967228]",1,3,La Seine
Le Puiseaux,F4210600,37.11461139727319,"[2.657540015861495, 47.75377568767887]","[2.727794704911614, 48.011535248949436]",1,3,La Seine
La Sarce,F0520600,30.39470693576163,"[4.245948613298688, 47.96194581436971]","[4.300285751755373, 48.1427942274148]",1,3,La Seine
L'Ardusson,F2040600,27.757729223369907,"[3.763423182962662, 48.40354503243898]","[3.524889196701711, 48.50830854278553]",1,3,La Seine
La Superbe,F15-0400,39.613461262458955,"[4.109962665629424, 48.73569315484744]","[3.887717532632236, 48.57896792477339]",1,3,La Seine
Le Ton,H0030600,56.30024733543655,"[4.353266275174072, 49.863474337207194]","[3.908417390905786, 49.905532721034575]",1,2,La Seine
Rivière de Saint-Quentin,H2129801,2.9067655698604904,"[2.060179403703961, 49.448928817618956]","[2.070841104294447, 49.42827520839133]",1,2,La Seine
La Vanne,F35-0400,58.799100327676335,"[3.874188930261752, 48.27815589457172]","[3.268318349798307, 48.190226946357626]",1,2,La Seine
La Coole,F6070600,30.195140989589436,"[4.39542366910513, 48.73925051659702]","[4.354968438420804, 48.93428514251912]",1,3,La Seine
